Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543523,Campus Activewear Limited,CAMPUS,Campus Activewear Ltd,Active,A ,5.00,INE278Y01022,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
543524,Rainbow Children's Medicare Limited,RAINBOW,Rainbow Children's Medicare Ltd,Active,A ,10.00,INE961O01016,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
543526,LIFE INSURANCE CORPORATION OF INDIA,LICI,Life Insurance Corporation of India,Active,A ,10.00,INE0J1Y01017,Life Insurance,Equity,Financial Services,Financial Services,Insurance,Life Insurance
543528,Venus Pipes & Tubes Limited,VENUSPIPES,Venus Pipes & Tubes Ltd,Active,A ,10.00,INE0JA001018,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
543529,Delhivery Limited,DELHIVERY,Delhivery Ltd,Active,A ,1.00,INE148O01028,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
543530,Paradeep Phosphates Limited,PARADEEP,Paradeep Phosphates Ltd,Active,A ,10.00,INE088F01024,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
543532,ETHOS LIMITED,ETHOSLTD,Ethos Ltd,Active,A ,10.00,INE04TZ01018,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
543534,Aether Industries Limited,AETHER,Aether Industries Ltd,Active,A ,10.00,INE0BWX01014,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
543573,Syrma SGS Technology Limited,SYRMA,Syrma SGS Technology Ltd,Active,A ,10.00,INE0DYJ01015,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
543591,DREAMFOLKS SERVICES LIMITED,DREAMFOLKS,Dreamfolks Services Ltd,Active,A ,2.00,INE0JS101016,Airport & Airport services,Equity,Services,Services,Transport Infrastructure,Airport & Airport services
543596,Tamilnad Mercantile Bank Limited,TMB,Tamilnad Mercantile Bank Ltd,Active,A ,10.00,INE668A01016,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank
543626,Electronics Mart India Limited,EMIL,Electronics Mart India Ltd,Active,A ,10.00,INE02YR01019,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
543635,PIRAMAL PHARMA LIMITED,PPLPHARMA,Piramal Pharma Ltd,Active,A ,10.00,INE0DK501011,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
543652,FUSION FINANCE LIMITED,FUSION,Fusion Finance Ltd,Active,A ,10.00,INE139R01012,Microfinance Institutions,Equity,Financial Services,Financial Services,Finance,Microfinance Institutions
543653,Bikaji Foods International Limited,BIKAJI,Bikaji Foods International Ltd,Active,A ,1.00,INE00E101023,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
543654,Global Health Limited,MEDANTA,Global Health Ltd,Active,A ,2.00,INE474Q01031,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
543657,Archean Chemical Industries Limited,ACI,Archean Chemical Industries Ltd,Active,A ,2.00,INE128X01021,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
543663,Five-Star Business Finance Ltd.,FIVESTAR,Five-Star Business Finance Ltd,Active,A ,1.00,INE128S01021,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
543664,KAYNES TECHNOLOGY INDIA LIMITED,KAYNES,Kaynes Technology India Ltd,Active,A ,10.00,INE918Z01012,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
543667,INOX GREEN ENERGY SERVICES LIMITED,INOXGREEN,Inox Green Energy Services Ltd,Active,A ,10.00,INE510W01014,Other Utilities,Equity,Utilities,Utilities,Other Utilities,Other Utilities
